graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,n_groups_expected,n_groups_observed,total_n,min_n_per_group,max_n_per_group,balanced_to_planned_n_runs,anova_F,anova_df_between,anova_df_within,anova_p_value,anova_significant_0p05,levene_statistic,levene_p_value,equal_variance_not_rejected_0p05,welch_F,welch_df_num,welch_df_denom,welch_p_value,welch_significant_0p05,eta_squared,omega_squared,omega_squared_raw
lfr,edge_weakening,edge_weight,edge_weight,edge,weighted_directed_community_assortativity,auc_abs_marginal_delta,7,7,280,40,40,True,65.38404097910843,6,273,5.227025870806196e-50,True,7.121651615629518,4.5861940271703574e-07,False,262.99107403388075,6.0,112.72695171179481,7.579571568197856e-64,True,0.5896614192787886,0.5797715507088702,0.5797715507088702
lfr,edge_weakening,edge_weight,edge_weight,edge,weighted_directed_community_assortativity,auc_raw,7,7,280,40,40,True,2741.5027894821296,6,273,1.051550115400591e-240,True,12.33736550176844,2.7360712100919476e-12,False,2351.536409826696,6.0,119.15253176595675,3.3151707957346014e-121,True,0.9836742179908421,0.983256609473918,0.983256609473918
lfr,edge_weakening,edge_weight,edge_weight,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_abs_delta,7,7,280,40,40,True,47.450748817177626,6,273,1.129263836974123e-39,True,5.527224954946845,2.0118249050946993e-05,False,96.88355819429742,6.0,119.80453415390025,1.4185828871005997e-43,True,0.5104934540173233,0.49884061510745814,0.49884061510745814
lfr,edge_weakening,edge_weight,edge_weight,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_abs_marginal_delta,7,7,280,40,40,True,6.521158935290298,6,273,1.9010141117827992e-06,True,1.9144682085620273,0.07859545993828693,True,253.11026874386968,6.0,112.43027493630764,7.267325320374548e-63,True,0.12535589496193347,0.1057940021759263,0.1057940021759263
lfr,edge_weakening,edge_weight,edge_weight,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_raw,7,7,280,40,40,True,2608.582352865095,6,273,8.280447145309503e-238,True,11.809454331416301,8.947887445843442e-12,False,2230.7027331922136,6.0,119.12091307147753,7.920043382265242e-120,True,0.9828565982698756,0.9824181279438132,0.9824181279438132
lfr,edge_weakening,edge_weight,edge_weight,edge,weighted_efficiency,auc_abs_delta,7,7,280,40,40,True,91.20256501939554,6,273,2.602409925937369e-62,True,1.3409912344645876,0.23902260689970817,True,69.50131116681898,6.0,120.93339801627592,7.453318614658826e-37,True,0.6671605979482214,0.6590419476182471,0.6590419476182471
lfr,edge_weakening,edge_weight,edge_weight,edge,weighted_efficiency,auc_abs_marginal_delta,7,7,280,40,40,True,128.24950698186956,6,273,1.932923416176976e-76,True,3.776317945881174,0.001249532592572028,False,95.63781215849819,6.0,120.77819970302049,1.7324128768842408e-43,True,0.7381287533394391,0.7316714961716301,0.7316714961716301
lfr,edge_weakening,edge_weight,edge_weight,edge,weighted_efficiency,auc_raw,7,7,280,40,40,True,86.88731023956596,6,273,2.0080663316117015e-60,True,7.997630337280276,5.817768353144357e-08,False,72.42826965437385,6.0,120.44059773496424,1.2983362306174521e-37,True,0.6563114703541908,0.6479421609532076,0.6479421609532076
lfr,edge_weakening,edge_weight,edge_weight,edge,yuan_out_in_strength_assortativity,auc_abs_delta,7,7,280,40,40,True,14.331412588943813,6,273,3.351193824120881e-14,True,3.395991806207138,0.0030129271286533006,False,7.764007262860964,6.0,120.97349794042961,4.4773416486790555e-07,True,0.23952990525903287,0.222197322886752,0.222197322886752
lfr,edge_weakening,edge_weight,edge_weight,edge,yuan_out_in_strength_assortativity,auc_abs_marginal_delta,7,7,280,40,40,True,4.480390306621902,6,273,0.0002399232194302168,True,1.3534009459103185,0.23371773559733758,True,4.401189217297732,6.0,120.92634913018001,0.0004654997938318785,True,0.08964296355301359,0.06940368022944542,0.06940368022944542
lfr,edge_weakening,edge_weight,edge_weight,edge,yuan_out_in_strength_assortativity,auc_raw,7,7,280,40,40,True,13.644465206484757,6,273,1.507095585519074e-13,True,1.194454102496814,0.30936465849339995,True,14.375475894435947,6.0,121.11375691145922,2.509648947496549e-12,True,0.23069724544552567,0.21318873552316372,0.21318873552316372
lfr,edge_weakening,random_edge,random_edge,edge,community_assortativity,auc_abs_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,random_edge,random_edge,edge,community_assortativity,auc_abs_marginal_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,random_edge,random_edge,edge,community_assortativity,auc_raw,7,7,280,40,40,True,2364.2597990178906,6,273,4.379504972641222e-232,True,8.494620062860761,1.814755564830241e-08,False,1809.714762344772,6.0,120.36304356852378,2.0449859938475632e-115,True,0.9811184500552532,0.9806356470493344,0.9806356470493344
lfr,edge_weakening,random_edge,random_edge,edge,community_assortativity_louvain_dynamic,auc_abs_delta,7,7,280,40,40,True,2.263866290551243,6,273,0.037766482228701506,True,2.265162186145015,0.03766183384045555,False,,6.0,,,False,0.04739704857182146,0.026368709308518472,0.026368709308518472
