graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,group1,group2,mu_t_group1,mu_t_group2,mean_difference_group2_minus_group1,ci95_lower,ci95_upper,p_value_tukey_adjusted,reject_tukey_0p05
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p300,0.125,0.3,-0.006179255247721664,-0.008623741154024075,-0.0037347693414192537,1.773770019752874e-11,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p300,0.15,0.3,-0.011347353548267325,-0.013791839454569736,-0.008902867641964914,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p300,0.175,0.3,-0.013188372255010218,-0.01563285816131263,-0.010743886348707807,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,mu_0p300,0.225,0.3,-0.012783501598059945,-0.015227987504362356,-0.010339015691757533,0.0,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,0.014203193514141853,0.002583038710891699,0.025823348317392008,0.006157196829678857,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p225,0.125,0.225,-0.014619192855758911,-0.026239347659009066,-0.0029990380525087568,0.004210666860222312,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p300,0.125,0.3,-0.013460573063440083,-0.025080727866690238,-0.0018404182601899285,0.011794379656655085,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,0.002194130426936036,0.00035991447967831597,0.004028346374193756,0.008062290081731982,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,0.002537102268114084,0.0007028863208563643,0.0043713182153718045,0.0010245305638877378,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,0.003403437324829282,0.001569221377571562,0.005237653272087002,1.7093798758693879e-06,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,0.0032137748534994647,0.0013795589062417448,0.005047990800757185,7.906399241308648e-06,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,0.003979683360718684,0.0021454674134609637,0.005813899307976404,1.0921650583917142e-08,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,0.0021489689694083464,0.00031475302215062647,0.003983184916666067,0.010341985653814945,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,0.001959306498078529,0.0001250905508208091,0.003793522445336249,0.02766705052590701,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,0.002725215005297748,0.000890999058040028,0.004559430952555468,0.00029287610584016743,True
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,0.0016781815180766544,0.00014679524549792464,0.003209567790655384,0.02147797473450308,True
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,-0.005665584725392329,-0.011328414597463882,-2.7548533207757964e-06,0.04979774085454558,True
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,-0.006076821746879653,-0.011739651618951207,-0.00041399187480809993,0.02646577113375337,True
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p225,0.15,0.225,-0.005805771442290225,-0.011468601314361778,-0.0001429415702186715,0.040386022416206036,True
