graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,group1,group2,mu_t_group1,mu_t_group2,mean_difference_group2_minus_group1,ci95_lower,ci95_upper,p_value_tukey_adjusted,reject_tukey_0p05
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,0.015142898910321483,0.012698413004019072,0.017587384816623895,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,0.020310997210867144,0.017866511304564733,0.022755483117169555,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,0.022152015917610037,0.019707530011307626,0.02459650182391245,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,0.021747145260659764,0.019302659354357352,0.024191631166962175,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,0.008963643662599819,0.006519157756297409,0.01140812956890223,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p125,0.1,0.125,0.006439856041973488,0.0039953701356710775,0.0088843419482759,2.2375434838295405e-12,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p150,0.1,0.15,0.011607954342519149,0.009163468436216737,0.01405244024882156,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,0.013448973049262042,0.01100448714295963,0.015893458955564453,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,0.013044102392311768,0.010599616486009357,0.01548858829861418,0.0,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,0.00026060079425182375,-0.0021838851120505867,0.002705086700554234,0.9999176321086036,False
