graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,n_groups_expected,n_groups_observed,total_n,min_n_per_group,max_n_per_group,balanced_to_planned_n_runs,anova_F,anova_df_between,anova_df_within,anova_p_value,anova_significant_0p05,levene_statistic,levene_p_value,equal_variance_not_rejected_0p05,welch_F,welch_df_num,welch_df_denom,welch_p_value,welch_significant_0p05,eta_squared,omega_squared,omega_squared_raw,anova_p_holm_primary_family,welch_p_holm_primary_family,anova_significant_holm_primary_0p05,welch_significant_holm_primary_0p05
lfr,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,7.768795445245055,6,273,9.964073605766503e-08,True,3.4742806570335993,0.002515814235223248,False,10.764271249381853,6.0,120.53725511062011,1.4516948174405375e-09,True,0.1458413951415627,0.12667234787020157,0.12667234787020157,2.989222081729951e-07,4.355084452321613e-09,True,True
lfr,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,205.20080172325137,6,273,4.364849716484113e-98,True,2.0110055853034976,0.06439958214352365,True,282.3542706071176,6.0,120.55717237820126,1.7273906617579933e-68,True,0.8185087575019905,0.8139788033650753,0.8139788033650753,2.1824248582420566e-97,8.636953308789966e-68,True,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,4.229491297425377,6,273,0.0004330026347857051,True,1.221623712888845,0.2952220541641027,True,5.95205776270367,6.0,120.1126472561373,1.8042590588550715e-05,True,0.085049961040811,0.06472424790200267,0.06472424790200267,0.0008660052695714102,3.608518117710143e-05,True,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,9.871137610079916,6,273,7.419002231579735e-10,True,2.6814745125238706,0.015182423936523963,False,12.180766126493658,6.0,120.87255852535344,1.1121067684393033e-10,True,0.17827225583826437,0.15973151487723133,0.15973151487723133,2.967600892631894e-09,4.4484270737572134e-10,True,True
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,2.5360352316640182,6,273,0.020928150545338232,True,0.9264189033851014,0.4762954031826129,True,2.6267859703208045,6.0,120.11404555393304,0.019857664105642967,True,0.052794432751026334,0.031866164575251994,0.031866164575251994,0.020928150545338232,0.019857664105642967,True,True
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,0.4985535739524443,6,273,0.8092515542255965,False,0.6590130676480556,0.6828511533363673,True,0.49216144831037345,6.0,121.1751018694049,0.8131819408492078,False,0.010838461977960099,0.0,-0.010861995749916321,1.0,1.0,False,False
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,2.351059284044657,6,273,0.03130923313194498,True,0.8112494762152366,0.5619140299844477,True,2.384545809629506,6.0,121.26012724334676,0.03262987588593294,True,0.049132857646655884,0.028136677805847728,0.028136677805847728,0.12523693252777993,0.13051950354373176,False,False
null,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,0.46235975541662905,6,273,0.8358715152440823,False,0.39858760576471325,0.8796496596578645,True,0.6204711148656439,6.0,121.00978830414843,0.7135866103557126,False,0.010059530404379236,0.0,-0.011655139643831417,1.0,1.0,False,False
null,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,1.0980371676834493,6,273,0.36371544576724696,False,1.3197594770011902,0.24832829624160674,True,1.0949740842865918,6.0,120.94738071309636,0.36932414449633305,False,0.023564021886418717,0.00209639235673795,0.00209639235673795,1.0,1.0,False,False
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,2.595555132360099,6,273,0.0183598265356231,True,1.7021473311940702,0.1205223364871895,True,3.4467690995691007,6.0,120.92964581291292,0.0035373716990935618,True,0.05396663216002126,0.0330601259719103,0.0330601259719103,0.0917991326781155,0.01768685849546781,False,True
