modularity_regime,mu_t_input,mu_w_input,run_id,replicate_id,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_lfr,auc_null,delta_auc_lfr_minus_null
mu_0p075,0.075,0.075,0,0,edge_weakening,spectral_kappa,spectral_kappa,edge,weighted_directed_community_assortativity,0.0069296660943949,0.0023757086576907,0.0045539574367042
mu_0p075,0.075,0.075,0,0,edge_weakening,spectral_kappa,spectral_kappa,edge,weighted_directed_community_assortativity_louvain_dynamic,0.0069296660943947,0.0179013472269612,-0.010971681132566502
mu_0p075,0.075,0.075,0,0,edge_weakening,spectral_kappa,spectral_kappa,edge,weighted_efficiency,0.3307688235011093,0.372006897443997,-0.0412380739428877
mu_0p075,0.075,0.075,0,0,edge_weakening,spectral_kappa,spectral_kappa,edge,yuan_out_in_strength_assortativity,0.0454158260508135,0.0112009015188864,0.0342149245319271
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,community_assortativity,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,community_assortativity_louvain_dynamic,0.0,0.0058986486051684,-0.0058986486051684
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,gscc_ratio,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,reachability,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,spectral_gamma,0.5953266111737724,5.21705470346313,-4.6217280922893575
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,spectral_kappa,0.5031836025559406,4.697290715618196,-4.194107113062255
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,weighted_directed_community_assortativity,0.0192160235334944,0.0023828475252255,0.0168331760082689
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,weighted_directed_community_assortativity_louvain_dynamic,0.0192160235334942,0.0078171976200957,0.011398825913398499
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,weighted_efficiency,0.4110660310056582,0.4555826371899925,-0.044516606184334284
mu_0p075,0.075,0.075,0,0,edge_weakening,weighted_edge_betweenness,weighted_edge_betweenness,edge,yuan_out_in_strength_assortativity,0.046889138033848,0.0450029373817196,0.0018862006521283975
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,community_assortativity,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,community_assortativity_louvain_dynamic,0.0,0.0085567662568682,-0.0085567662568682
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,gscc_ratio,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,reachability,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,spectral_gamma,0.2080975998186184,3.2292973339765383,-3.02119973415792
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,spectral_kappa,0.1997887920556,2.7522101521092166,-2.5524213600536165
