run_id,replicate_id,modularity_regime,mu_t_input,mu_w_input,pair_number,run_start,run_end,generation_seconds,generation_minutes,node_attacks_seconds,node_attacks_minutes,ranked_edge_attacks_seconds,ranked_edge_attacks_minutes,random_subset_seconds,random_subset_minutes,run_seconds,run_minutes,total_elapsed_minutes,total_elapsed_hours,average_minutes_per_pair,estimated_remaining_minutes,estimated_remaining_hours
0,0,mu_0p075,0.075,0.075,1,2026-08-14 05:50:36,2026-08-14 06:04:05,0.3653549429999998,0.0060892490499999,514.204270614,8.5700711769,251.7234500720001,4.195390834533336,42.95767730099988,0.715961288349998,809.269201803,13.48782003005,13.48855939363333,0.2248093232272222,13.48855939363333,3763.3080708237,62.72180118039499
1,1,mu_0p075,0.075,0.075,2,2026-08-14 06:04:09,2026-08-14 06:19:02,0.3968142229998648,0.006613570383331,593.829714943,9.897161915716667,258.41096691000007,4.306849448500001,40.25205599499986,0.6708675999166644,892.9084453959999,14.881807423266666,28.432966925149994,0.4738827820858333,14.216483462574995,3952.1824025958495,65.86970670993082
2,2,mu_0p075,0.075,0.075,3,2026-08-14 06:19:06,2026-08-14 06:29:45,0.5206890819999899,0.0086781513666664,431.3348192459998,7.188913654099997,177.0009376769999,2.9500156279499987,29.939282763999927,0.4989880460666654,638.8252117390002,10.647086862316671,39.149095756516665,0.6524849292752778,13.049698585505556,3614.766508185038,60.24610846975064
3,3,mu_0p075,0.075,0.075,4,2026-08-14 06:29:48,2026-08-14 06:45:04,0.5253862300000947,0.0087564371666682,614.621665056,10.2436944176,256.6510354950001,4.277517258250001,43.77264384,0.729544064,915.602048115,15.26003413525,54.47312487316666,0.9078854145527776,13.618281218291663,3758.6456162485,62.64409360414167
4,4,mu_0p075,0.075,0.075,5,2026-08-14 06:45:08,2026-08-14 06:55:39,0.3580609279997588,0.0059676821333293,419.9634749549996,6.999391249249993,179.35083346400006,2.9891805577333344,31.58636341500005,0.5264393902500009,631.2766320719998,10.521277201199997,65.05709279621666,1.0842848799369444,13.011418559243335,3578.140103791917,59.63566839653195
5,5,mu_0p075,0.075,0.075,6,2026-08-14 06:55:44,2026-08-14 07:06:27,0.5877283079998961,0.0097954717999982,433.0897358889997,7.218162264816661,180.18227879200003,3.0030379798666678,29.074631961000705,0.4845771993500117,642.9716516260005,10.716194193766675,75.85168767168334,1.2641947945280556,12.641947945280556,3463.8937370068725,57.73156228344787
6,6,mu_0p075,0.075,0.075,7,2026-08-14 07:06:32,2026-08-14 07:17:07,0.3389048799999727,0.0056484146666662,425.7536846170005,7.095894743616676,180.36472570800012,3.0060787618000027,29.418565717999627,0.4903094286333271,635.8944996769997,10.598241661283328,86.530994625,1.4421832437500002,12.361570660714287,3374.7087903750007,56.245146506250016
7,7,mu_0p075,0.075,0.075,8,2026-08-14 07:17:12,2026-08-14 07:31:52,0.529631141000209,0.0088271856833368,581.6641033080004,9.694401721800007,254.728066054,4.245467767566667,43.5762388739995,0.7262706478999916,880.5307985970003,14.675513309950004,101.27790500106669,1.687965083351111,12.659738125133334,3443.4487700362665,57.39081283393777
8,8,mu_0p075,0.075,0.075,9,2026-08-14 07:31:56,2026-08-14 07:47:22,0.388857981000001,0.00648096635,628.9456728409996,10.482427880683328,255.64627351200036,4.260771225200005,41.265388726999845,0.6877564787833308,926.2646271109998,15.43774378518333,116.77877690155,1.9463129483591668,12.97541965572778,3516.338726702228,58.60564544503713
9,9,mu_0p075,0.075,0.075,10,2026-08-14 07:47:26,2026-08-14 07:58:20,0.6059786960004203,0.0100996449333403,437.8247736539997,7.297079560899996,182.88154101799955,3.048025683633326,31.79479350200017,0.5299132250333363,653.1386537160006,10.88564422860001,127.73239784035,2.128873297339166,12.773239784035002,3448.7747416894504,57.47957902815751
10,10,mu_0p075,0.075,0.075,11,2026-08-14 07:58:23,2026-08-14 08:08:47,0.3581706439999834,0.005969510733333,419.83809711200047,6.997301618533341,174.29905030999907,2.904984171833318,29.22011961499993,0.4870019935833322,623.742876456,10.3957146076,138.18964468856666,2.3031607448094444,12.562694971687876,3379.364947384039,56.32274912306732
11,11,mu_0p075,0.075,0.075,12,2026-08-14 08:08:51,2026-08-14 08:23:52,0.3975386500005697,0.0066256441666761,600.1288429100005,10.00214738183334,256.4024162700007,4.273373604500011,43.98899742699905,0.7331499571166508,900.9357382260004,15.015595637100008,153.26620283893334,2.5544367139822226,12.772183569911112,3422.945196736178,57.04908661226963
12,12,mu_0p075,0.075,0.075,13,2026-08-14 08:23:55,2026-08-14 08:34:52,0.3683718020001834,0.0061395300333363,446.1429270970002,7.43571545161667,179.86720312499892,2.9977867187499823,30.758803076998447,0.5126467179499741,657.1555430780008,10.952592384633348,164.28066587718334,2.738011097953056,12.636974298244873,3374.0721376313813,56.234535627189686
13,13,mu_0p075,0.075,0.075,14,2026-08-14 08:34:56,2026-08-14 08:50:21,0.3890364080016297,0.0064839401333604,627.3961637779994,10.456602729633325,253.12895453800047,4.218815908966675,43.63878186299917,0.7273130310499861,924.5711276340008,15.409518793900013,179.75287224263332,2.9958812040438887,12.839490874473809,3415.304572610033,56.92174287683389
14,14,mu_0p075,0.075,0.075,15,2026-08-14 08:50:25,2026-08-14 09:05:43,0.438670784000351,0.0073111797333391,620.0744690859992,10.334574484766652,254.95996351699975,4.249332725283329,42.7401244879984,0.7123354081333066,918.2337667310004,15.303896112183338,195.11994547551663,3.251999091258611,13.007996365034444,3447.119036734128,57.45198394556879
