family,filename,path,outcome,attack_family,ranking_metric,scale,graph_type
dashboard_panel,02_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_redistribution_raw.png,01_dashboard_panels/louvain_dynamic/raw/02_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_redistribution_raw.png,weighted_directed_community_assortativity_louvain_dynamic,node_redistribution,ALL,raw,
dashboard_panel,03_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_raw.png,01_dashboard_panels/louvain_dynamic/raw/03_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_raw.png,weighted_directed_community_assortativity_louvain_dynamic,edge_weakening,ALL,raw,
dashboard_panel,04_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_random_subset_raw.png,01_dashboard_panels/louvain_dynamic/raw/04_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_random_subset_raw.png,weighted_directed_community_assortativity_louvain_dynamic,edge_weakening_random_subset,ALL,raw,
dashboard_panel,05_Y2L_community_assortativity_louvain_dynamic_node_removal_raw.png,01_dashboard_panels/louvain_dynamic/raw/05_Y2L_community_assortativity_louvain_dynamic_node_removal_raw.png,community_assortativity_louvain_dynamic,node_removal,ALL,raw,
dashboard_panel,06_Y2L_community_assortativity_louvain_dynamic_node_redistribution_raw.png,01_dashboard_panels/louvain_dynamic/raw/06_Y2L_community_assortativity_louvain_dynamic_node_redistribution_raw.png,community_assortativity_louvain_dynamic,node_redistribution,ALL,raw,
dashboard_panel,07_Y2L_community_assortativity_louvain_dynamic_edge_weakening_raw.png,01_dashboard_panels/louvain_dynamic/raw/07_Y2L_community_assortativity_louvain_dynamic_edge_weakening_raw.png,community_assortativity_louvain_dynamic,edge_weakening,ALL,raw,
dashboard_panel,08_Y2L_community_assortativity_louvain_dynamic_edge_weakening_random_subset_raw.png,01_dashboard_panels/louvain_dynamic/raw/08_Y2L_community_assortativity_louvain_dynamic_edge_weakening_random_subset_raw.png,community_assortativity_louvain_dynamic,edge_weakening_random_subset,ALL,raw,
dashboard_panel,01_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_removal_signed_delta.png,01_dashboard_panels/louvain_dynamic/signed_delta/01_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_removal_signed_delta.png,weighted_directed_community_assortativity_louvain_dynamic,node_removal,ALL,signed_delta,
dashboard_panel,02_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_redistribution_signed_delta.png,01_dashboard_panels/louvain_dynamic/signed_delta/02_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_redistribution_signed_delta.png,weighted_directed_community_assortativity_louvain_dynamic,node_redistribution,ALL,signed_delta,
dashboard_panel,03_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_signed_delta.png,01_dashboard_panels/louvain_dynamic/signed_delta/03_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_signed_delta.png,weighted_directed_community_assortativity_louvain_dynamic,edge_weakening,ALL,signed_delta,
dashboard_panel,04_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_random_subset_signed_delta.png,01_dashboard_panels/louvain_dynamic/signed_delta/04_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_random_subset_signed_delta.png,weighted_directed_community_assortativity_louvain_dynamic,edge_weakening_random_subset,ALL,signed_delta,
dashboard_panel,05_Y2L_community_assortativity_louvain_dynamic_node_removal_signed_delta.png,01_dashboard_panels/louvain_dynamic/signed_delta/05_Y2L_community_assortativity_louvain_dynamic_node_removal_signed_delta.png,community_assortativity_louvain_dynamic,node_removal,ALL,signed_delta,
dashboard_panel,06_Y2L_community_assortativity_louvain_dynamic_node_redistribution_signed_delta.png,01_dashboard_panels/louvain_dynamic/signed_delta/06_Y2L_community_assortativity_louvain_dynamic_node_redistribution_signed_delta.png,community_assortativity_louvain_dynamic,node_redistribution,ALL,signed_delta,
dashboard_panel,07_Y2L_community_assortativity_louvain_dynamic_edge_weakening_signed_delta.png,01_dashboard_panels/louvain_dynamic/signed_delta/07_Y2L_community_assortativity_louvain_dynamic_edge_weakening_signed_delta.png,community_assortativity_louvain_dynamic,edge_weakening,ALL,signed_delta,
dashboard_panel,08_Y2L_community_assortativity_louvain_dynamic_edge_weakening_random_subset_signed_delta.png,01_dashboard_panels/louvain_dynamic/signed_delta/08_Y2L_community_assortativity_louvain_dynamic_edge_weakening_random_subset_signed_delta.png,community_assortativity_louvain_dynamic,edge_weakening_random_subset,ALL,signed_delta,
dashboard_panel,01_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_removal_absolute_delta.png,01_dashboard_panels/louvain_dynamic/absolute_delta/01_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_removal_absolute_delta.png,weighted_directed_community_assortativity_louvain_dynamic,node_removal,ALL,absolute_delta,
dashboard_panel,02_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_redistribution_absolute_delta.png,01_dashboard_panels/louvain_dynamic/absolute_delta/02_Y1L_weighted_directed_community_assortativity_louvain_dynamic_node_redistribution_absolute_delta.png,weighted_directed_community_assortativity_louvain_dynamic,node_redistribution,ALL,absolute_delta,
dashboard_panel,03_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_absolute_delta.png,01_dashboard_panels/louvain_dynamic/absolute_delta/03_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_absolute_delta.png,weighted_directed_community_assortativity_louvain_dynamic,edge_weakening,ALL,absolute_delta,
dashboard_panel,04_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_random_subset_absolute_delta.png,01_dashboard_panels/louvain_dynamic/absolute_delta/04_Y1L_weighted_directed_community_assortativity_louvain_dynamic_edge_weakening_random_subset_absolute_delta.png,weighted_directed_community_assortativity_louvain_dynamic,edge_weakening_random_subset,ALL,absolute_delta,
dashboard_panel,05_Y2L_community_assortativity_louvain_dynamic_node_removal_absolute_delta.png,01_dashboard_panels/louvain_dynamic/absolute_delta/05_Y2L_community_assortativity_louvain_dynamic_node_removal_absolute_delta.png,community_assortativity_louvain_dynamic,node_removal,ALL,absolute_delta,
dashboard_panel,06_Y2L_community_assortativity_louvain_dynamic_node_redistribution_absolute_delta.png,01_dashboard_panels/louvain_dynamic/absolute_delta/06_Y2L_community_assortativity_louvain_dynamic_node_redistribution_absolute_delta.png,community_assortativity_louvain_dynamic,node_redistribution,ALL,absolute_delta,
dashboard_panel,07_Y2L_community_assortativity_louvain_dynamic_edge_weakening_absolute_delta.png,01_dashboard_panels/louvain_dynamic/absolute_delta/07_Y2L_community_assortativity_louvain_dynamic_edge_weakening_absolute_delta.png,community_assortativity_louvain_dynamic,edge_weakening,ALL,absolute_delta,
dashboard_panel,08_Y2L_community_assortativity_louvain_dynamic_edge_weakening_random_subset_absolute_delta.png,01_dashboard_panels/louvain_dynamic/absolute_delta/08_Y2L_community_assortativity_louvain_dynamic_edge_weakening_random_subset_absolute_delta.png,community_assortativity_louvain_dynamic,edge_weakening_random_subset,ALL,absolute_delta,
luisa_style,001_community_assortativity_node_removal_random_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/001_community_assortativity_node_removal_random_raw_signed_delta.png,community_assortativity,node_removal,random,raw_signed_delta,
luisa_style,002_community_assortativity_node_removal_weighted_slack_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/002_community_assortativity_node_removal_weighted_slack_raw_signed_delta.png,community_assortativity,node_removal,weighted_slack,raw_signed_delta,
luisa_style,003_community_assortativity_node_removal_out_strength_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/003_community_assortativity_node_removal_out_strength_raw_signed_delta.png,community_assortativity,node_removal,out_strength,raw_signed_delta,
luisa_style,004_community_assortativity_node_redistribution_random_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/004_community_assortativity_node_redistribution_random_raw_signed_delta.png,community_assortativity,node_redistribution,random,raw_signed_delta,
luisa_style,005_community_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/005_community_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,community_assortativity,node_redistribution,weighted_slack,raw_signed_delta,
luisa_style,006_community_assortativity_node_redistribution_out_strength_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/006_community_assortativity_node_redistribution_out_strength_raw_signed_delta.png,community_assortativity,node_redistribution,out_strength,raw_signed_delta,
luisa_style,007_community_assortativity_edge_weakening_random_edge_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/007_community_assortativity_edge_weakening_random_edge_raw_signed_delta.png,community_assortativity,edge_weakening,random_edge,raw_signed_delta,
luisa_style,008_community_assortativity_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/008_community_assortativity_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,community_assortativity,edge_weakening,weighted_edge_betweenness,raw_signed_delta,
luisa_style,009_community_assortativity_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/009_community_assortativity_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,community_assortativity,edge_weakening_random_subset,random_fixed_10pct,raw_signed_delta,
luisa_style,010_community_assortativity_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,02_luisa_style/standard_groundtruth/community_assortativity/010_community_assortativity_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,community_assortativity,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,raw_signed_delta,
luisa_style,011_weighted_directed_community_assortativity_node_removal_random_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/011_weighted_directed_community_assortativity_node_removal_random_raw_signed_delta.png,weighted_directed_community_assortativity,node_removal,random,raw_signed_delta,
