relative_path,filename,asset_type,size_bytes,size_mb
visuals/02_luisa_style/standard_groundtruth/spectral_kappa/035_spectral_kappa_node_redistribution_weighted_slack_raw_signed_delta.png,035_spectral_kappa_node_redistribution_weighted_slack_raw_signed_delta.png,png,716524,0.6833305358886719
visuals/02_luisa_style/standard_groundtruth/spectral_kappa/036_spectral_kappa_node_redistribution_out_strength_raw_signed_delta.png,036_spectral_kappa_node_redistribution_out_strength_raw_signed_delta.png,png,737311,0.7031545639038086
visuals/02_luisa_style/standard_groundtruth/spectral_kappa/037_spectral_kappa_edge_weakening_random_edge_raw_signed_delta.png,037_spectral_kappa_edge_weakening_random_edge_raw_signed_delta.png,png,582698,0.5557041168212891
visuals/02_luisa_style/standard_groundtruth/spectral_kappa/038_spectral_kappa_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,038_spectral_kappa_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,png,577037,0.5503053665161133
visuals/02_luisa_style/standard_groundtruth/spectral_kappa/039_spectral_kappa_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,039_spectral_kappa_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,png,524643,0.5003385543823242
visuals/02_luisa_style/standard_groundtruth/spectral_kappa/040_spectral_kappa_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,040_spectral_kappa_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,png,572404,0.5458869934082031
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/011_weighted_directed_community_assortativity_node_removal_random_raw_signed_delta.png,011_weighted_directed_community_assortativity_node_removal_random_raw_signed_delta.png,png,548057,0.5226678848266602
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/012_weighted_directed_community_assortativity_node_removal_weighted_slack_raw_signed_delta.png,012_weighted_directed_community_assortativity_node_removal_weighted_slack_raw_signed_delta.png,png,539008,0.5140380859375
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/013_weighted_directed_community_assortativity_node_removal_out_strength_raw_signed_delta.png,013_weighted_directed_community_assortativity_node_removal_out_strength_raw_signed_delta.png,png,527107,0.5026884078979492
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/014_weighted_directed_community_assortativity_node_redistribution_random_raw_signed_delta.png,014_weighted_directed_community_assortativity_node_redistribution_random_raw_signed_delta.png,png,525331,0.5009946823120117
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/015_weighted_directed_community_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,015_weighted_directed_community_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,png,555803,0.530055046081543
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/016_weighted_directed_community_assortativity_node_redistribution_out_strength_raw_signed_delta.png,016_weighted_directed_community_assortativity_node_redistribution_out_strength_raw_signed_delta.png,png,542182,0.5170650482177734
